Country,YEAR,Fertility Rate,Child Mortality 0-5 YO,GDP per Capita
United States,1799,7.03,329,1980
United States,1800,7.01,329,2020
United States,1801,6.99,329,2050
United States,1802,6.96,329,2020
United States,1803,6.94,329,2010
United States,1804,6.92,329,2060
United States,1805,6.9,329,2090
United States,1806,6.87,329,2110
United States,1807,6.85,329,1970
United States,1808,6.83,329,2060
United States,1809,6.81,329,2120
United States,1810,6.79,329,2160
United States,1811,6.76,329,2130
United States,1812,6.74,329,2150
United States,1813,6.72,329,2190
United States,1814,6.7,329,2180
United States,1815,6.67,329,2090
United States,1816,6.65,329,2090
United States,1817,6.63,329,2100
United States,1818,6.61,329,2090
United States,1819,6.59,329,2080
United States,1820,6.57,329,2110
United States,1821,6.54,329,2170
United States,1822,6.52,329,2150
United States,1823,6.5,329,2210
United States,1824,6.48,329,2250
United States,1825,6.46,329,2270
United States,1826,6.44,329,2280
United States,1827,6.42,329,2280
United States,1828,6.4,329,2200
United States,1829,6.38,329,2360
United States,1830,6.36,329,2510
United States,1831,6.34,329,2600
United States,1832,6.32,329,2690
United States,1833,6.3,329,2560
United States,1834,6.28,329,2660
United States,1835,6.26,329,2700
United States,1836,6.24,329,2610
United States,1837,6.22,329,2590
United States,1838,6.2,329,2720
United States,1839,6.18,329,2580
United States,1840,6.14,329,2530
United States,1841,6.09,329,2510
United States,1842,6.05,329,2550
United States,1843,6,329,2690
United States,1844,5.96,329,2730
United States,1845,5.91,329,2740
United States,1846,5.87,329,2820
United States,1847,5.82,329,2890
United States,1848,5.78,329,2810
United States,1849,5.73,329,2830
United States,1850,5.69,329,2940
United States,1851,5.64,329,3090
United States,1852,5.6,329,3300
United States,1853,5.55,329,3310
United States,1854,5.51,329,3240
United States,1855,5.46,329,3310
United States,1856,5.42,329,3230
United States,1857,5.37,329,3250
United States,1858,5.33,329,3340
United States,1859,5.28,329,3430
United States,1860,5.26,329,3350
United States,1861,5.23,329,3460
United States,1862,5.2,329,3680
United States,1863,5.18,329,3800
United States,1864,5.15,329,3610
United States,1865,5.12,329,3580
United States,1866,5.1,329,3700
United States,1867,5.07,329,3750
United States,1868,5.04,329,3850
United States,1869,5.02,329,3740
United States,1870,4.99,329,3830
United States,1871,4.96,329,3880
United States,1872,4.94,329,3980
United States,1873,4.91,329,3860
United States,1874,4.88,329,3970
United States,1875,4.86,329,3930
United States,1876,4.83,329,3970
United States,1877,4.8,329,4040
United States,1878,4.77,329,4450
United States,1879,4.75,329,4870
United States,1880,4.7,322,4910
United States,1881,4.66,316,5100
United States,1882,4.61,309,5100
United States,1883,4.57,304,5070
United States,1884,4.52,298,5000
United States,1885,4.48,291,5030
United States,1886,4.43,285,5150
United States,1887,4.39,279,5020
United States,1888,4.35,274,5220
United States,1889,4.3,268,5180
United States,1890,4.26,264,5300
United States,1891,4.21,260,5700
United States,1892,4.17,257,5320
United States,1893,4.12,253,5060
United States,1894,4.08,249,5570
United States,1895,4.03,246,5360
United States,1896,3.99,242,5760
United States,1897,3.94,239,5780
United States,1898,3.9,235,6190
United States,1899,3.85,232,6250
United States,1900,3.85,228,6820
United States,1901,3.84,217,6760
United States,1902,3.83,215,6960
United States,1903,3.79,224,6740
United States,1904,3.75,218,7090
United States,1905,3.71,219,7760
United States,1906,3.67,218,7740
United States,1907,3.63,202,6970
United States,1908,3.58,194,7670
United States,1909,3.59,202,7590
United States,1910,3.57,188,7710
United States,1911,3.56,182,7950
United States,1912,3.45,186,8100
United States,1913,3.57,177,7330
United States,1914,3.52,172,7430
United States,1915,3.47,179,8340
United States,1916,3.33,180,8020
United States,1917,3.31,239,8650
United States,1918,3.07,169,8680
United States,1919,3.26,168,8490
United States,1920,3.33,146,8130
United States,1921,3.11,146,8470
United States,1922,3.1,150,9420
United States,1923,3.12,140,9530
United States,1924,3.01,130,9600
United States,1925,2.9,121,10100
United States,1926,2.82,113,10100
United States,1927,2.66,105,10000
United States,1928,2.53,97.5,10500
United States,1929,2.53,90.8,9490
United States,1930,2.4,84.4,8860
United States,1931,2.32,78.6,7530
United States,1932,2.01,73.1,7270
United States,1933,2.07,79.7,7880
United States,1934,2.04,75.3,8850
United States,1935,2.01,75.9,9720
United States,1936,2.04,73.6,10400
United States,1937,2.09,69.5,9800
United States,1938,2.05,62.9,10500
United States,1939,2.11,61.9,11300
United States,1940,2.23,60.3,12800
United States,1941,2.47,54.7,14200
United States,1942,2.57,53.7,15400
United States,1943,2.44,50.3,16400
United States,1944,2.38,48.2,16000
United States,1945,2.83,46.6,14500
United States,1946,3.16,42.8,14100
United States,1947,3.01,39.7,14600
United States,1948,3.02,39.6,14100
United States,1949,3.02,37.6,15200
United States,1950,3.2,36.6,16100
United States,1951,3.3,35.6,16400
United States,1952,3.37,34.7,16900
United States,1953,3.49,33.8,16500
United States,1954,3.54,33,17400
United States,1955,3.65,32.3,17400
United States,1956,3.74,31.7,17400
United States,1957,3.69,31.1,16900
United States,1958,3.69,30.6,17900
United States,1959,3.67,30.1,18100
United States,1960,3.63,29.5,18200
United States,1961,3.48,28.9,19000
United States,1962,3.35,28.3,19500
United States,1963,3.22,27.7,20300
United States,1964,2.93,27.1,21400
United States,1965,2.71,26.4,22500
United States,1966,2.56,25.7,22800
United States,1967,2.47,24.9,23700
United States,1968,2.46,24.1,24200
United States,1969,2.46,23.3,23900
United States,1970,2.27,22.4,24400
United States,1971,2.01,21.5,25400
United States,1972,1.87,20.6,26600
United States,1973,1.83,19.7,26200
United States,1974,1.77,18.8,25900
United States,1975,1.74,17.9,27000
United States,1976,1.78,17.1,27900
United States,1977,1.75,16.3,29200
United States,1978,1.8,15.6,29900
United States,1979,1.82,15,29500
United States,1980,1.81,14.4,30000
United States,1981,1.81,13.9,29100
United States,1982,1.78,13.4,30100
United States,1983,1.79,13,32000
United States,1984,1.84,12.7,32900
United States,1985,1.84,12.4,33700
United States,1986,1.87,12.2,34600
United States,1987,1.92,11.9,35700
United States,1988,2,11.6,36600
United States,1989,2.07,11.2,36800
United States,1990,2.06,10.9,36300
United States,1991,2.04,10.5,37000
United States,1992,2.02,10.1,37600
United States,1993,2,9.78,38600
United States,1994,1.98,9.46,39200
United States,1995,1.98,9.18,40200
United States,1996,1.97,8.94,41500
United States,1997,2,8.75,42800
United States,1998,2.01,8.59,44300
United States,1999,2.05,8.45,45700
United States,2000,2.03,8.33,45700
United States,2001,2.02,8.23,46000
United States,2002,2.05,8.14,46900
United States,2003,2.06,8.05,48300
United States,2004,2.06,7.96,49500
United States,2005,2.11,7.86,50400
United States,2006,2.12,7.75,50900
United States,2007,2.07,7.61,50400
United States,2008,2,7.47,48600
United States,2009,1.93,7.33,49500
United States,2010,1.9,7.2,49900
United States,2011,1.9,7.08,50600
United States,2012,1.96,6.97,51200
United States,2013,1.95,6.88,52100
United States,2014,1.93,6.8,53200
United States,2015,1.92,6.73,53600
United States,2016,1.91,6.64,54500
United States,2017,1.9,6.53,55700
United States,2018,1.9,6.58,56700
United States,2019,1.89,6.62,57500
United States,2020,1.89,6.64,58200
United States,2021,1.89,6.62,58800
United States,2022,1.89,6.57,59400
