country,Year,Children Per Woman,Life Expectancy (Years)
Bangladesh,1799,6.7,25.5
Bangladesh,1800,6.7,25.5
Bangladesh,1801,6.7,25.5
Bangladesh,1802,6.7,25.5
Bangladesh,1803,6.7,25.5
Bangladesh,1804,6.7,25.5
Bangladesh,1805,6.7,25.5
Bangladesh,1806,6.7,25.5
Bangladesh,1807,6.7,25.5
Bangladesh,1808,6.7,25.5
Bangladesh,1809,6.7,25.5
Bangladesh,1810,6.7,25.5
Bangladesh,1811,6.7,25.5
Bangladesh,1812,6.7,25.5
Bangladesh,1813,6.7,25.5
Bangladesh,1814,6.7,25.5
Bangladesh,1815,6.7,25.5
Bangladesh,1816,6.7,25.5
Bangladesh,1817,6.7,25.5
Bangladesh,1818,6.7,25.5
Bangladesh,1819,6.7,25.5
Bangladesh,1820,6.7,25.5
Bangladesh,1821,6.7,25.5
Bangladesh,1822,6.7,25.5
Bangladesh,1823,6.7,25.5
Bangladesh,1824,6.7,25.5
Bangladesh,1825,6.7,25.5
Bangladesh,1826,6.7,25.5
Bangladesh,1827,6.7,25.5
Bangladesh,1828,6.7,25.5
Bangladesh,1829,6.7,25.5
Bangladesh,1830,6.7,25.5
Bangladesh,1831,6.7,25.5
Bangladesh,1832,6.7,25.5
Bangladesh,1833,6.7,25.5
Bangladesh,1834,6.7,25.5
Bangladesh,1835,6.7,25.5
Bangladesh,1836,6.7,25.5
Bangladesh,1837,6.7,25.5
Bangladesh,1838,6.7,25.5
Bangladesh,1839,6.7,25.5
Bangladesh,1840,6.7,25.5
Bangladesh,1841,6.7,25.5
Bangladesh,1842,6.7,25.5
Bangladesh,1843,6.7,25.5
Bangladesh,1844,6.7,25.5
Bangladesh,1845,6.7,25.5
Bangladesh,1846,6.7,25.5
Bangladesh,1847,6.7,25.5
Bangladesh,1848,6.7,25.5
Bangladesh,1849,6.7,25.5
Bangladesh,1850,6.7,25.5
Bangladesh,1851,6.7,25.5
Bangladesh,1852,6.7,25.5
Bangladesh,1853,6.7,25.5
Bangladesh,1854,6.7,25.5
Bangladesh,1855,6.7,25.5
Bangladesh,1856,6.7,25.5
Bangladesh,1857,6.7,25.5
Bangladesh,1858,6.7,25.5
Bangladesh,1859,6.7,25.5
Bangladesh,1860,6.7,25.5
Bangladesh,1861,6.7,25.5
Bangladesh,1862,6.7,25.5
Bangladesh,1863,6.7,25
Bangladesh,1864,6.7,24
Bangladesh,1865,6.7,25.2
Bangladesh,1866,6.7,25.5
Bangladesh,1867,6.7,25.5
Bangladesh,1868,6.7,25.5
Bangladesh,1869,6.7,25.5
