country,Years,Fertility Rate,Income
Afghanistan,1900,7,1110
Afghanistan,1901,7,1120
Afghanistan,1902,7,1140
Afghanistan,1903,7,1160
Afghanistan,1904,7,1180
Afghanistan,1905,7,1200
Afghanistan,1906,7,1220
Afghanistan,1907,7,1240
Afghanistan,1908,7,1260
Afghanistan,1909,7,1280
Afghanistan,1910,7,1300
Afghanistan,1911,7,1320
Afghanistan,1912,7,1340
Afghanistan,1913,7,1360
Afghanistan,1914,7,1380
Afghanistan,1915,7,1400
Afghanistan,1916,7,1430
Afghanistan,1917,7,1450
Afghanistan,1918,7,1470
Afghanistan,1919,7,1490
Afghanistan,1920,7,1520
Afghanistan,1921,7,1550
Afghanistan,1922,7,1570
Afghanistan,1923,7,1600
Afghanistan,1924,7,1630
Afghanistan,1925,7.03,1650
Afghanistan,1926,7.05,1680
Afghanistan,1927,7.08,1710
Afghanistan,1928,7.11,1740
Afghanistan,1929,7.14,1770
Afghanistan,1930,7.16,1790
Afghanistan,1931,7.19,1820
Afghanistan,1932,7.21,1850
Afghanistan,1933,7.24,1880
Afghanistan,1934,7.26,1910
Afghanistan,1935,7.29,1940
Afghanistan,1936,7.31,1970
Afghanistan,1937,7.33,2000
Afghanistan,1938,7.36,2030
Afghanistan,1939,7.38,2060
Afghanistan,1940,7.4,2090
Afghanistan,1941,7.42,2130
Afghanistan,1942,7.44,2160
Afghanistan,1943,7.46,2190
Afghanistan,1944,7.48,2220
Afghanistan,1945,7.5,2260
Afghanistan,1946,7.52,2290
Afghanistan,1947,7.54,2320
Afghanistan,1948,7.56,2360
Afghanistan,1949,7.57,2390
Afghanistan,1950,7.56,2420
Afghanistan,1951,7.55,2460
Afghanistan,1952,7.54,2570
Afghanistan,1953,7.53,2580
Afghanistan,1954,7.52,2580
Afghanistan,1955,7.51,2640
Afghanistan,1956,7.49,2590
Afghanistan,1957,7.48,2680
Afghanistan,1958,7.46,2710
Afghanistan,1959,7.45,2740
Afghanistan,1960,7.45,2700
Afghanistan,1961,7.45,2680
Afghanistan,1962,7.45,2670
Afghanistan,1963,7.45,2650
Afghanistan,1964,7.45,2640
Afghanistan,1965,7.45,2600
Afghanistan,1966,7.45,2600
Afghanistan,1967,7.45,2620
Afghanistan,1968,7.45,2590
Afghanistan,1969,7.45,2570
Afghanistan,1970,7.45,2500
Afghanistan,1971,7.45,2030
Afghanistan,1972,7.45,2030
Afghanistan,1973,7.45,2080
Afghanistan,1974,7.45,2150
Afghanistan,1975,7.45,2210
Afghanistan,1976,7.45,2040
Afghanistan,1977,7.45,2130
Afghanistan,1978,7.45,2030
Afghanistan,1979,7.45,2020
Afghanistan,1980,7.45,2260
Afghanistan,1981,7.45,2500
Afghanistan,1982,7.45,2650
Afghanistan,1983,7.46,2620
Afghanistan,1984,7.46,2550
Afghanistan,1985,7.46,2620
Afghanistan,1986,7.46,2360
Afghanistan,1987,7.46,2140
Afghanistan,1988,7.46,1940
Afghanistan,1989,7.47,1860
Afghanistan,1990,7.48,1650
Afghanistan,1991,7.5,1520
Afghanistan,1992,7.54,1010
Afghanistan,1993,7.57,721
Afghanistan,1994,7.61,1030
Afghanistan,1995,7.63,942
Afghanistan,1996,7.64,865
Afghanistan,1997,7.62,800
Afghanistan,1998,7.57,735
Afghanistan,1999,7.49,687
Afghanistan,2000,7.39,646
Afghanistan,2001,7.27,1020
Afghanistan,2002,7.14,1060
Afghanistan,2003,6.99,1030
Afghanistan,2004,6.83,1100
Afghanistan,2005,6.65,1120
Afghanistan,2006,6.46,1250
Afghanistan,2007,6.25,1270
Afghanistan,2008,6.04,1500
Afghanistan,2009,5.82,1670
Afghanistan,2010,5.6,1630
Afghanistan,2011,5.38,1770
Afghanistan,2012,5.17,1810
Afghanistan,2013,4.98,1800
Afghanistan,2014,4.8,1770
Afghanistan,2015,4.64,1760
Afghanistan,2016,4.48,1760
Afghanistan,2017,4.33,1740
Afghanistan,2018,4.18,1760
Afghanistan,2019,4.04,1800
Afghanistan,2020,3.9,1850
Afghanistan,2021,3.77,1900
Afghanistan,2022,3.65,1970
Afghanistan,2023,3.53,2050
Afghanistan,2024,3.43,2140
Afghanistan,2025,3.32,2220
Afghanistan,2026,3.23,2290
Afghanistan,2027,3.14,2360
Afghanistan,2028,3.06,2430
Afghanistan,2029,2.98,2490
Afghanistan,2030,2.91,2550
Afghanistan,2031,2.85,2600
Afghanistan,2032,2.79,2660
Afghanistan,2033,2.73,2710
Afghanistan,2034,2.68,2770
Afghanistan,2035,2.63,2820
Afghanistan,2036,2.58,2880
Afghanistan,2037,2.53,2940
Afghanistan,2038,2.49,3000
Afghanistan,2039,2.45,3060
Afghanistan,2040,2.41,0
Afghanistan,2041,2.37,0
Afghanistan,2042,2.34,0
Afghanistan,2043,2.3,0
Afghanistan,2044,2.27,0
Afghanistan,2045,2.24,0
Afghanistan,2046,2.21,0
Afghanistan,2047,2.18,0
Afghanistan,2048,2.15,0
Afghanistan,2049,2.13,0
Afghanistan,2050,2.1,0
Afghanistan,2051,2.08,0
Afghanistan,2052,2.05,0
Afghanistan,2053,2.03,0
Afghanistan,2054,2.01,0
Afghanistan,2055,1.99,0
Afghanistan,2056,1.97,0
Afghanistan,2057,1.95,0
Afghanistan,2058,1.94,0
Afghanistan,2059,1.92,0
Afghanistan,2060,1.91,0
Afghanistan,2061,1.89,0
Afghanistan,2062,1.88,0
Afghanistan,2063,1.87,0
Afghanistan,2064,1.85,0
Afghanistan,2065,1.84,0
Afghanistan,2066,1.83,0
Afghanistan,2067,1.82,0
Afghanistan,2068,1.81,0
Afghanistan,2069,1.81,0
Afghanistan,2070,1.8,0
Afghanistan,2071,1.79,0
Afghanistan,2072,1.79,0
Afghanistan,2073,1.78,0
Afghanistan,2074,1.77,0
Afghanistan,2075,1.77,0
Afghanistan,2076,1.76,0
Afghanistan,2077,1.76,0
Afghanistan,2078,1.76,0
Afghanistan,2079,1.75,0
Afghanistan,2080,1.75,0
Afghanistan,2081,1.75,0
Afghanistan,2082,1.75,0
Afghanistan,2083,1.75,0
Afghanistan,2084,1.75,0
Afghanistan,2085,1.74,0
Afghanistan,2086,1.74,0
Afghanistan,2087,1.74,0
Afghanistan,2088,1.74,0
Afghanistan,2089,1.74,0
Afghanistan,2090,1.74,0
Afghanistan,2091,1.74,0
Afghanistan,2092,1.74,0
Afghanistan,2093,1.74,0
Afghanistan,2094,1.74,0
Afghanistan,2095,1.74,0
Afghanistan,2096,1.74,0
Afghanistan,2097,1.74,0
Afghanistan,2098,1.74,0
Afghanistan,2099,1.74,0
Brazil,1900,5.82,1220
Brazil,1901,5.76,1190
Brazil,1902,5.78,1190
Brazil,1903,5.8,1190
Brazil,1904,5.81,1200
Brazil,1905,5.83,1290
Brazil,1906,5.85,1260
Brazil,1907,5.86,1230
Brazil,1908,5.88,1300
Brazil,1909,5.9,1280
Brazil,1910,5.9,1400
Brazil,1911,5.9,1350
Brazil,1912,5.9,1350
Brazil,1913,5.9,1300
Brazil,1914,5.9,1330
Brazil,1915,5.9,1340
Brazil,1916,5.9,1410
Brazil,1917,5.9,1350
Brazil,1918,5.9,1490
Brazil,1919,5.9,1610
Brazil,1920,5.9,1610
Brazil,1921,5.9,1680
Brazil,1922,5.9,1750
Brazil,1923,5.9,1710
Brazil,1924,5.9,1680
Brazil,1925,5.9,1680
Brazil,1926,5.9,1770
Brazil,1927,5.9,1930
Brazil,1928,5.9,1900
Brazil,1929,5.9,1750
Brazil,1930,5.9,1680
Brazil,1931,5.9,1700
Brazil,1932,5.9,1800
Brazil,1933,5.9,1910
Brazil,1934,5.9,1920
Brazil,1935,5.9,2060
Brazil,1936,5.9,2090
Brazil,1937,5.9,2130
Brazil,1938,5.9,2110
Brazil,1939,5.9,2090
Brazil,1940,5.92,2180
Brazil,1941,5.95,2050
Brazil,1942,5.98,2280
Brazil,1943,6.01,2310
Brazil,1944,6.04,2320
Brazil,1945,6.07,2510
Brazil,1946,6.09,2530
Brazil,1947,6.12,2720
Brazil,1948,6.15,2860
Brazil,1949,6.18,2900
Brazil,1950,6.17,2950
Brazil,1951,6.15,3080
Brazil,1952,6.14,3130
Brazil,1953,6.14,3280
Brazil,1954,6.14,3470
Brazil,1955,6.16,3460
Brazil,1956,6.18,3620
Brazil,1957,6.2,3890
Brazil,1958,6.21,4150
Brazil,1959,6.21,4400
Brazil,1960,6.19,4650
Brazil,1961,6.14,4810
Brazil,1962,6.06,4700
Brazil,1963,5.95,4720
Brazil,1964,5.82,4700
Brazil,1965,5.66,4870
Brazil,1966,5.49,4940
Brazil,1967,5.33,5270
Brazil,1968,5.17,5620
Brazil,1969,5.02,6040
Brazil,1970,4.9,6550
Brazil,1971,4.78,7150
Brazil,1972,4.68,7950
Brazil,1973,4.59,8380
Brazil,1974,4.5,8600
Brazil,1975,4.42,9260
Brazil,1976,4.34,9490
Brazil,1977,4.26,9720
Brazil,1978,4.17,10100
Brazil,1979,4.07,10800
Brazil,1980,3.97,10100
Brazil,1981,3.85,9960
Brazil,1982,3.72,9460
Brazil,1983,3.59,9770
Brazil,1984,3.45,10300
Brazil,1985,3.31,10900
Brazil,1986,3.17,11100
Brazil,1987,3.04,10800
